Protocol,Nodes,Flows,Speed_mps,PauseTime_s,ErrorRate,SimTime_s,PacketSize_B,Seed,Run,DataTxPkts,DataRxPkts,DataLostPkts,RoutingTxPkts,RoutingRxPkts,PDR_pct,THPT_bps,GPT_bps,Throughput_kbps,AvgDelay_ms,DelayWithLossPenalty_ms,PCMP_J,RoutingOverhead,PacketLossRate_pct
AODV,10,10,5,2,0,20,512,1,1,1210,1117,35,203,190,92.31,2.413e+05,2.288e+05,241.3,30.69,606.8,99.53,0.1678,2.893
AOMDV,10,10,5,2,0,20,512,1,1,846,673,12,31,30,79.55,1.454e+05,1.378e+05,145.4,31.75,308.9,99.25,0.03664,1.418
