Protocol,Nodes,Flows,Speed_mps,PauseTime_s,ErrorRate,SimTime_s,PacketSize_B,Seed,Run,DataTxPkts,DataRxPkts,DataLostPkts,RoutingTxPkts,RoutingRxPkts,PDR_pct,THPT_bps,GPT_bps,Throughput_kbps,AvgDelay_ms,PCMP_J,RoutingOverhead,PacketLossRate_pct,LostNoRoute,LostQueueTTL
AODV,10,10,5,2,0,20,512,1,1,1210,1117,35,203,190,92.3140,241272.0000,228761.6000,241.2720,,39.9013,99.5339,0.1678,2.8926,1,0
DSDV,10,10,5,2,0,20,512,1,1,1210,788,190,0,0,65.1240,170208.0000,161382.4000,170.2080,,167.3928,99.0027,0.0000,15.7025,0,0
OLSR,10,10,5,2,0,20,512,1,1,1083,911,12,0,0,84.1182,196776.0000,186572.8000,196.7760,,34.8755,99.2367,0.0000,1.1080,0,0
