Protocol,Nodes,Flows,Speed_mps,PauseTime_s,ErrorRate,SimTime_s,PacketSize_B,Seed,Run,DataTxPkts,DataRxPkts,DataLostPkts,RoutingTxPkts,RoutingRxPkts,PDR_pct,THPT_bps,GPT_bps,Throughput_kbps,AvgDelay_ms,DelayWithLossPenalty_ms,PCMP_J,RoutingOverhead,PacketLossRate_pct
AOMDV,20,10,5,2,0.1,8,512,1,1,171,122,0,39,36,71.35,6.588e+04,6.246e+04,65.88,177.8,126.8,46.08,0.2281,0
AOMDV,20,10,5,2,0.1,8,512,1,1,171,122,0,39,36,71.35,6.588e+04,6.246e+04,65.88,177.8,126.8,46.08,0.2281,0
