Mode,Protocol,Nodes,Flows,PpsPerFlow,Speed_mps,Area_m,SimTime_s,PacketSize_B,Seed,Run,DataTxPkts,DataRxPkts,DataLostPkts,Throughput_bps,AvgDelay_ms,PDR,DropRatio,EnergyConsumed_J,RoutingTxPkts,RoutingRxPkts
wireless,AOMDV,20,10,100,5,70,8,512,1,1,5732,3409,0,1840860.000000,232.181908,0.594731,0.000000,62.613993,43,41
wireless,AOMDV,20,10,100,5,70,10,512,1,1,4130,2075,0,896400.000000,154.824254,0.502421,0.000000,76.524010,84,25
wireless,AOMDV,20,10,100,5,70,10,512,1,1,4130,2075,0,896400.000000,154.824254,0.502421,0.000000,76.524010,84,25
wireless,AOMDV,20,10,100,5,70,10,512,1,1,4130,2075,0,896400.000000,154.824254,0.502421,0.000000,76.524010,84,25
